[2021-11-06 22:43:53]𝑱𝒂𝒔𝒎𝒊𝒏𝒆ఌ#1622說:
[2021-11-09 19:11:00]筠筠#6113說:
[2021-11-09 19:11:41]Æ檸檬Ŧ紅茶Œ#0248說:https://tenor.com/view/confused-what-huh-gif-14742755
[2021-11-09 19:12:07]筠筠#6113說:第一次用這個app
[2021-11-09 19:12:17]布丁🍮#5121說:w
[2021-11-09 19:12:32]Æ檸檬Ŧ紅茶Œ#0248說:你是遺照嗎
[2021-11-09 19:12:45]Æ檸檬Ŧ紅茶Œ#0248說:還是鳳梨
[2021-11-09 19:12:54]筠筠#6113說:鳳梨
[2021-11-09 19:13:01]筠筠#6113說:笑死
[2021-11-09 19:13:15]Æ檸檬Ŧ紅茶Œ#0248說:啊姨好
[2021-11-09 19:13:33]筠筠#6113說:明天被我打🌝
[2021-11-09 19:14:14]Æ檸檬Ŧ紅茶Œ#0248說:笑鼠
[2021-11-09 19:14:18]Æ檸檬Ŧ紅茶Œ#0248說:先不要
[2021-11-10 17:00:41]DoCare#6229說:
[2021-11-10 18:29:36]布丁🍮#5121說:
